Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1912,1,2.166,,1.114,-0.236,-0.245,-1.604,,,,2.719,,,3.560,9.780,-2.162,0
1912,2,1.953,,1.163,-0.190,-0.196,-1.556,,,,2.719,,,3.450,9.820,-2.162,0
1912,3,1.617,,1.142,-0.233,-0.239,-1.617,,,,2.758,,,3.510,9.780,-2.284,0
1912,4,1.953,,1.224,-0.129,-0.138,-1.501,,,,2.725,,,3.530,9.740,-1.949,0
1912,5,1.800,,1.242,-0.108,-0.117,-1.476,,,,2.719,,,3.540,9.770,-2.040,0
1912,6,1.892,,1.251,-0.077,-0.084,-1.416,,,,2.667,,,3.590,9.770,-1.979,0
1912,7,1.983,,1.264,-0.053,-0.071,-1.406,,,,2.670,,,3.650,9.920,-2.040,0
1912,8,1.892,,1.212,-0.041,-0.093,-1.397,,,,2.609,,,3.520,10.120,-2.071,0
1912,9,1.800,,1.203,-0.041,-0.074,-1.352,,,,2.554,,,3.730,10.120,-1.888,0
1912,10,1.770,,1.206,-0.108,-0.114,-1.434,,,,2.640,,,3.610,9.790,-2.010,0
1912,11,1.800,,1.221,-0.102,-0.102,-1.428,,,,2.649,,,3.620,9.780,-2.010,0
1912,12,1.953,,1.111,-0.196,-0.199,-1.507,,,,2.618,,,3.580,9.810,-2.132,0
1913,1,1.922,,1.157,-0.190,-0.190,-1.537,,,,2.694,,,3.610,9.770,-2.132,0
1913,2,1.922,,1.105,-0.193,-0.205,-1.519,,,,2.624,,,3.480,9.760,-2.162,0
1913,3,1.556,,1.063,-0.260,-0.266,-1.592,,,,2.655,,,3.470,9.780,-2.315,0
1913,4,1.617,,1.154,-0.157,-0.151,-1.458,,,,2.612,,,3.480,9.790,-2.132,0
1913,5,1.739,,1.191,-0.151,-0.120,-1.428,,,,2.618,,,3.660,9.800,-2.010,0
1913,6,1.678,,1.218,-0.087,-0.090,-1.400,,,,2.618,,,3.500,9.760,-1.827,0
1913,7,1.831,,1.224,-0.099,-0.108,-1.440,,,,2.664,,,3.650,9.830,-1.918,0
1913,8,1.831,,1.212,-0.108,-0.117,-1.446,,,,2.658,,,3.520,9.780,-1.979,0
1913,9,1.739,,1.184,-0.148,-0.151,-1.486,,,,2.670,,,3.560,9.790,-2.162,0
1913,10,2.196,,1.291,-0.053,-0.050,-1.391,,,,2.682,,,3.630,9.780,-2.132,0
1913,11,1.800,,1.187,-0.129,-0.117,-1.422,,,,2.609,,,3.620,9.830,-2.193,0
1913,12,2.196,,1.206,-0.123,-0.114,-1.434,,,,2.640,,,3.500,9.860,-1.888,0
1914,1,1.739,,1.251,-0.065,-0.040,-1.333,,,,2.585,,,3.560,9.870,-1.888,0
1914,2,2.135,,1.108,-0.209,-0.212,-1.531,,,,2.640,,,3.540,9.810,-2.254,0
1914,3,1.739,,1.206,-0.151,-0.157,-1.516,,,,2.722,,,3.440,9.740,-2.254,0
1914,4,1.892,,1.151,-0.175,-0.181,-1.507,,,,2.664,,,3.440,9.740,-2.406,0
1914,5,2.044,,1.206,-0.129,-0.132,-1.473,,,,2.679,,,3.440,9.700,-2.071,0
1914,6,1.800,,1.206,-0.148,-0.154,-1.513,,,,2.719,,,3.630,9.790,-2.101,0
1914,7,1.739,,1.276,-0.080,-0.084,-1.443,,,,2.719,,,3.590,9.780,-1.918,0
1914,8,1.709,,1.248,-0.093,-0.108,-1.464,,,,2.713,,,3.670,9.880,-1.888,0
1914,9,1.861,,1.264,-0.062,-0.080,-1.425,,,,2.688,,,3.620,9.860,-1.918,0
1914,10,1.892,,1.212,-0.096,-0.074,-1.361,,,,2.573,,,3.660,9.790,-2.193,0
1914,11,2.105,,1.187,-0.114,-0.096,-1.376,,,,2.563,,,3.650,9.790,-2.193,0
